date,open,close,raw_open,raw_close
2021-09-24,413.88,416.2,441.44,443.91
2021-09-27,415.17,415.01,442.81,442.64
2021-09-28,412.24,406.64,439.69,433.72
2021-09-29,408.02,407.33,435.19,434.45
2021-09-30,408.8,402.35,436.02,429.14
2021-10-01,404.08,407.13,430.98,434.24
2021-10-04,405.97,401.88,433,428.64
2021-10-05,403.38,406.06,430.24,433.1
2021-10-06,402.47,407.75,429.27,434.9
2021-10-07,411.02,411.28,438.39,438.66
2021-10-08,412.04,410.53,439.48,437.86
2021-10-11,409.87,407.55,437.16,434.69
2021-10-12,408.47,406.55,435.67,433.62
2021-10-13,407.57,408.01,434.71,435.18
2021-10-14,411.67,414.88,439.08,442.5
2021-10-15,416.99,418.04,444.75,445.87
2021-10-18,416.25,419.27,443.97,447.19
2021-10-19,420.9,422.51,448.92,450.64
2021-10-20,422.97,424.17,451.13,452.41
2021-10-21,423.57,425.27,451.77,453.59
2021-10-22,424.84,424.83,453.13,453.12
2021-10-25,425.92,427.11,454.28,455.55
2021-10-26,428.66,427.5,457.2,455.96
2021-10-27,427.95,425.6,456.45,453.94
2021-10-28,427.03,429.71,455.46,458.32
2021-10-29,427.41,430.58,455.87,459.25
2021-11-01,431.56,431.32,460.3,460.04
2021-11-02,431.49,433.06,460.22,461.9
2021-11-03,432.5,435.71,461.3,464.72
2021-11-04,436.31,437.76,465.36,466.91
2021-11-05,439.98,439.28,469.28,468.53
2021-11-08,440.38,439.66,469.7,468.93
2021-11-09,440.02,438.2,469.32,467.38
2021-11-10,436.52,434.68,465.58,463.62
2021-11-11,436.17,434.82,465.21,463.77
2021-11-12,436.08,438.1,465.12,467.27
2021-11-15,439.38,438.25,468.64,467.43
2021-11-16,437.99,439.98,467.15,469.28
2021-11-17,439.72,438.92,469,468.14
2021-11-18,439.95,440.41,469.24,469.73
2021-11-19,440.29,439.62,469.61,468.89
2021-11-22,441.49,438.38,470.89,467.57
2021-11-23,438.05,438.96,467.22,468.19
2021-11-24,436.97,440.13,466.06,469.44
2021-11-26,433.48,430.32,462.34,458.97
2021-11-29,435.1,435.6,464.07,464.6
2021-11-30,433.16,427.12,462,455.56
2021-12-01,432.82,422.38,461.64,450.5
2021-12-02,422.59,428.85,450.73,457.4
2021-12-03,430.51,425.11,459.17,453.42
2021-12-06,427.65,430.15,456.13,458.79
2021-12-07,435.42,439.05,464.41,468.28
2021-12-08,439.44,440.21,468.7,469.52
2021-12-09,438.92,437.24,468.15,466.35
2021-12-10,439.94,441.35,469.23,470.74
2021-12-13,440.84,437.46,470.19,466.59
2021-12-14,434.18,434.43,463.09,463.36
2021-12-15,434.49,441.22,463.42,470.6
2021-12-16,443.07,437.33,472.57,466.45
2021-12-17,434.26,432.68,461.55,459.87
2021-12-20,427.61,428.08,454.48,454.98
2021-12-21,431.49,435.68,458.61,463.06
2021-12-22,435.43,440.04,462.79,467.69
2021-12-23,441.03,442.78,468.75,470.6
2021-12-27,444.15,449.04,472.06,477.26
2021-12-28,449.47,448.67,477.72,476.87
2021-12-29,448.78,449.25,476.98,477.48
2021-12-30,449.67,448.01,477.93,476.16
2021-12-31,447.52,446.88,475.64,474.96
2022-01-03,448.14,449.46,476.3,477.71
2022-01-04,450.89,449.31,479.22,477.55
2022-01-05,448.95,440.69,477.16,468.38
2022-01-06,440.23,440.27,467.89,467.94
2022-01-07,440.28,438.53,467.95,466.09
2022-01-10,435.34,437.99,462.7,465.51
2022-01-11,437.72,441.96,465.23,469.73
2022-01-12,443.71,443.17,471.59,471.02
2022-01-13,444.27,437.06,472.19,464.53
2022-01-14,433.92,437.24,461.19,464.72
2022-01-18,432.56,429.5,459.74,456.49
2022-01-19,431.04,425.04,458.13,451.75
